region,event_date,actual_month,xgb_forecast_month,actual_or_forecast,region_from_file
Ayeyarwady,2022-01-31,24.0,,24.0,Ayeyarwady
Ayeyarwady,2022-02-28,4.0,,4.0,Ayeyarwady
Ayeyarwady,2022-03-31,9.0,,9.0,Ayeyarwady
Ayeyarwady,2022-04-30,16.0,,16.0,Ayeyarwady
Ayeyarwady,2022-05-31,15.0,,15.0,Ayeyarwady
Ayeyarwady,2022-06-30,4.0,,4.0,Ayeyarwady
Ayeyarwady,2022-07-31,5.0,,5.0,Ayeyarwady
Ayeyarwady,2022-08-31,6.0,,6.0,Ayeyarwady
Ayeyarwady,2022-09-30,5.0,,5.0,Ayeyarwady
Ayeyarwady,2022-10-31,7.0,,7.0,Ayeyarwady
Ayeyarwady,2022-11-30,6.0,,6.0,Ayeyarwady
Ayeyarwady,2022-12-31,4.0,,4.0,Ayeyarwady
Ayeyarwady,2023-01-31,3.0,,3.0,Ayeyarwady
Ayeyarwady,2023-02-28,4.0,,4.0,Ayeyarwady
Ayeyarwady,2023-03-31,3.0,,3.0,Ayeyarwady
Ayeyarwady,2023-04-30,11.0,,11.0,Ayeyarwady
Ayeyarwady,2023-05-31,3.0,,3.0,Ayeyarwady
